,0
0,497214.33702306135
1,278734.4450758253
2,953903.9075043224
3,644502.5182349894
4,139521.62388727738
5,660981.7838694084
6,744239.1239869279
7,1047072.2358311826
8,345375.52522225655
9,124766.43496667617
10,490303.11398930603
11,137933.82857239433
12,158475.2425693898
13,1004518.2905519608
14,298397.36216402554
15,470453.6000902876
16,440318.4071152337
17,588144.9426765105
18,494164.8514707495
19,923953.0542350061
20,1858141.0730345584
21,699812.9078409804
22,205594.79559415538
23,365707.9360305724
24,542739.8746281352
25,113462.47574730462
26,269656.4270321616
27,715812.168284365
28,561697.9469524306
29,542486.7921435571
30,301456.6202072018
31,629376.2427426459
32,499655.8144990775
33,796560.6841454952
34,166035.7917409836
35,322773.54683734896
36,11031.51879830542
37,411116.73283402564
38,402158.4641358573
39,475244.5517584145
40,389755.16060958395
41,121445.18674969597
42,1825978.72602021
43,403296.997350055
44,685701.238110096
45,503630.13173217874
46,513287.2086747034
47,233842.38097691647
48,595264.383127706
49,593948.0167493692
50,805905.1461729533
51,207082.41379587795
52,384726.4001138677
53,1312729.1756742531
54,618806.3509972543
55,559162.4068967454
56,626986.626123622
57,391009.70158721483
58,280542.09021269216
59,422192.8767287979
60,13729.66537193468
61,984492.2099352482
62,263780.204550806
63,460545.0552750033
64,349190.55244409724
65,448210.3480863563
66,601252.3047692939
67,197973.26654361148
68,464519.60668282036
69,929551.1696480127
70,71708.01417157787
71,877268.5656252679
72,475213.0444131753
73,1151303.0935312738
74,627481.8564452275
75,229372.6834633035
76,881700.908202249
77,386473.6760909804
78,1637475.9083268563
79,356415.74834901013
80,386714.04568896804
81,1098544.8653380503
82,364613.05677307094
83,847324.4005438605
84,928518.3504444732
85,1738770.2751321835
86,604010.1947729297
87,758070.6672522472
88,464660.6691889911
89,650174.7712251389
90,1299488.3130521793
91,737574.0156973673
92,121973.61895895307
93,722241.2729664787
94,402236.13080952957
95,349152.2260550648
96,319215.9941218053
97,99030.75121872721
98,434040.59037054935
99,1053392.3833059925
100,725935.3023385156
101,342013.2308438709
102,287569.2285324277
103,415202.2858036589
104,561055.9774604898
105,792693.1766611548
106,483810.57159904484
107,1368666.1006413503
108,-54546.03992985765
109,325540.28340932156
110,465422.9970589606
111,403354.84590046003
112,466513.88464294444
113,319782.4439438438
114,694958.2168390843
115,24252.65200748481
